2019-10-29 11:15:41 status half-installed libthai-data:all 0.1.26-1
2019-10-29 11:15:41 status unpacked libthai-data:all 0.1.26-1
2019-10-29 11:15:41 status unpacked libthai-data:all 0.1.26-1
2019-10-29 11:15:41 install libdatrie1:amd64 <none> 0.2.10-4+b1
2019-10-29 11:15:41 status half-installed libdatrie1:amd64 0.2.10-4+b1
2019-10-29 11:15:41 status unpacked libdatrie1:amd64 0.2.10-4+b1
2019-10-29 11:15:41 status unpacked libdatrie1:amd64 0.2.10-4+b1
2019-10-29 11:15:41 install libthai0:amd64 <none> 0.1.26-1
2019-10-29 11:15:41 status half-installed libthai0:amd64 0.1.26-1
2019-10-29 11:15:41 status unpacked libthai0:amd64 0.1.26-1
2019-10-29 11:15:41 status unpacked libthai0:amd64 0.1.26-1
2019-10-29 11:15:41 install libpango-1.0-0:amd64 <none> 1.40.5-1
2019-10-29 11:15:41 status half-installed libpango-1.0-0:amd64 1.40.5-1
2019-10-29 11:15:41 status unpacked libpango-1.0-0:amd64 1.40.5-1
2019-10-29 11:15:41 status unpacked libpango-1.0-0:amd64 1.40.5-1
2019-10-29 11:15:41 install libgraphite2-3:amd64 <none> 1.3.10-1
2019-10-29 11:15:41 status half-installed libgraphite2-3:amd64 1.3.10-1
2019-10-29 11:15:41 status unpacked libgraphite2-3:amd64 1.3.10-1
2019-10-29 11:15:41 status unpacked libgraphite2-3:amd64 1.3.10-1
2019-10-29 11:15:42 install libharfbuzz0b:amd64 <none> 1.4.2-1
2019-10-29 11:15:42 status half-installed libharfbuzz0b:amd64 1.4.2-1
2019-10-29 11:15:42 status unpacked libharfbuzz0b:amd64 1.4.2-1
2019-10-29 11:15:42 status unpacked libharfbuzz0b:amd64 1.4.2-1
2019-10-29 11:15:42 install libpangoft2-1.0-0:amd64 <none> 1.40.5-1
2019-10-29 11:15:42 status half-installed libpangoft2-1.0-0:amd64 1.40.5-1
2019-10-29 11:15:42 status unpacked libpangoft2-1.0-0:amd64 1.40.5-1
2019-10-29 11:15:42 status unpacked libpangoft2-1.0-0:amd64 1.40.5-1
2019-10-29 11:15:42 install libpangocairo-1.0-0:amd64 <none> 1.40.5-1
2019-10-29 11:15:42 status half-installed libpangocairo-1.0-0:amd64 1.40.5-1
2019-10-29 11:15:42 status unpacked libpangocairo-1.0-0:amd64 1.40.5-1
